No.;Time;Comment;Scramble;Date;P.1;P.2
76;DNF(22.24);;L' U F2 R2 L' D' R F' U' R' D F2 L2 U2 D' F2 U' R2 L2 B2 R2 Rw2;2023-08-19 08:52:12;8.29;13.94
77;DNF(23.88);;L2 R2 D B2 L2 R2 D B2 L2 U R2 B' L D' B2 R' D2 F' L B' R2 Rw Uw2;2023-08-19 08:52:55;23.46;0.41
78;DNF(13.36);;B L2 F2 R' U2 R D2 L B2 D2 L F2 U2 D L' F2 R D2 U B' Uw';2023-08-19 08:53:56;5.51;7.85
79;DNF(21.24);;B D L2 F D' R' B' U L2 B2 R2 U2 B2 D' L2 D R2 F2 U' R U2 Rw' Uw;2023-08-19 08:54:28;7.14;14.09
80;30.04;;L2 U2 R D2 B2 R U2 R' D2 L2 R' F2 B' L2 R U' R' D' F' R2 B' Fw' Uw;2023-08-19 08:55:12;14.69;15.35
81;17.16;;R' F L2 U2 L2 R2 B' U2 F2 U2 B' U2 D B' L D R' B R2 B' Fw' Uw';2023-08-19 09:07:35;6.51;10.64
82;16.79;;R2 U B2 R2 B2 L2 D2 R2 D' B2 D U F' R2 F U L' U2 F2 U' L' Fw Uw2;2023-08-19 09:08:03;4.43;12.36
83;DNF(22.30);;R2 F' B L' B' U' R' D F' R2 L2 F D2 F' U2 L2 B' R2 F L2 R' Rw2;2023-08-19 09:08:27;7.50;14.80
84;18.50;;L2 F2 D2 R F2 R D2 L2 B2 L2 U2 F2 B' R' F2 U L2 D2 B D2 Rw' Uw2;2023-08-19 09:09:13;7.07;11.43
85;DNF(18.50);;R2 D2 L2 B2 U L2 F2 D' U2 L2 U R2 F R F2 R B' F2 D F' R' Rw' Uw2;2023-08-19 09:09:41;5.36;13.13
86;DNF(18.33);;U' F2 R2 F L2 D2 B' L2 D2 F D L D2 L2 F' U B' U2 Fw Uw;2023-08-19 09:10:37;6.89;11.43
87;DNF(19.59);;U' R2 F L2 D2 F' U2 B F' D2 R2 D2 U B R' D L' B' R F R Rw;2023-08-19 09:11:07;5.72;13.87
88;DNF(16.81);;D2 R2 U2 F' L2 R2 U2 B2 F R2 L U2 B' U F2 L U' L2 D F Uw2;2023-08-19 09:12:02;5.38;11.43
89;DNF(20.84);;D' B R2 F' L2 F' R2 U2 B2 D2 F D' L' F U2 B2 U2 R F Fw;2023-08-19 09:13:20;7.90;12.94
90;22.02;;F' L2 D' R2 B2 D2 U B2 D F2 L2 B2 U R B' U2 R D2 L2 B U2 Fw Uw;2023-08-19 09:14:18;6.34;15.67
91;15.96;;F B' U F L U' R B' L B2 L' F2 R2 U2 R2 U2 D2 B2 Rw2 Uw;2023-08-19 09:15:25;7.14;8.81
92;18.70;;L' U2 L2 D2 L2 F R2 D2 B' F D2 F U B' U R U2 F2 D2 R' Fw' Uw2;2023-08-19 09:15:51;5.67;13.03
93;DNF(29.33);;R2 B2 L2 D' B2 U2 F2 D' R2 U' L2 U R B' F' R' F D L2 B2 F2 Uw';2023-08-19 09:16:32;11.45;17.88
94;16.71;;R U B F2 R2 D L2 F2 D F2 D F2 R2 F2 B L2 B' R' D U2 F Rw' Uw;2023-08-19 09:17:14;7.50;9.20
95;DNF(14.52);;F' L2 B' D2 B' U2 F' U2 F2 L2 U2 B2 U' R' B' D2 L F2 D' B2 R Rw' Uw2;2023-08-19 09:17:42;6.20;8.31
96;DNF(21.64);;F2 R' D2 F' B' U R' U' B R2 B2 U2 R2 B2 U D2 F2 D L2 U Rw' Uw2;2023-08-19 09:18:24;5.12;16.52
97;28.98;;F U L' F2 L2 D B2 F2 D L2 D L2 B2 D' R' F U' B R' B' L2 Rw' Uw';2023-08-19 09:19:02;15.15;13.83
98;27.72;;F2 L U2 F2 L' D2 B2 R2 U2 F2 D' L2 F' U F R B2 L2 D2;2023-08-19 09:19:38;8.50;19.22
99;DNF(16.43);;D' R' B2 R2 F2 U2 R F2 R' D2 B2 F2 R2 B' R' B' D' L F U Rw Uw';2023-08-19 09:20:16;6.68;9.75
100;DNF(13.05);;L2 F R' D' R' B' D' R' D' R2 F D2 B' R2 D2 B' U2 R2 L2 B2 R2 Rw2;2023-08-19 09:20:48;5.55;7.49
