No.;Time;Comment;Scramble;Date;P.1;P.2
1;DNF(35.64);;U' D2 F2 R' U2 L' U2 F2 U2 L2 F2 L F D R' D F D2 L' B2 Uw;2023-08-18 11:04:58;15.49;20.14
2;DNF(14.62);;F2 L2 D' L2 D B2 U L2 U2 F2 U' L B' F D B' F' R U2 B2 Rw2 Uw2;2023-08-18 11:07:22;7.79;6.83
3;18.41;;B R2 U' F2 D L2 U' R2 D2 F2 U R2 F L D B D2 R D' L Rw' Uw2;2023-08-18 11:07:56;7.76;10.65
4;19.24;;R2 B2 L' F L2 D2 B2 U2 F L2 D2 B U2 F U L R D' L' F D' Rw' Uw2;2023-08-18 11:08:24;7.99;11.25
5;DNF(18.38);;D R2 B2 D' R2 D' L2 U' B2 U2 B2 L U2 F L R2 D2 L' R2 F' Fw' Uw;2023-08-18 11:09:06;5.62;12.75
6;26.46;;R' F' B2 U2 B2 U' L2 D B2 L2 D2 U' F2 R U2 R B U L B R' Rw Uw2;2023-08-18 11:09:47;8.86;17.60
7;DNF(19.80);;F' D' F U2 R' F' L U2 B2 D B2 L2 D' F2 U' F2 B2 U B2 R' B2 Fw' Uw';2023-08-18 11:10:22;10.02;9.77
8;DNF(12.92);;R2 F2 B' U' F R' U2 L' F2 R2 D F2 R2 B2 U' L2 D R2 F2 D;2023-08-18 11:11:02;5.99;6.93
9;DNF(15.09);;D F2 L2 B U' F L U' L2 D F2 U' R2 U F2 L2 F2 U2 B D Fw' Uw;2023-08-18 11:11:36;6.69;8.40
10;DNF(24.49);;U2 L2 D2 L F2 L D2 L' D2 R' B2 L F L2 R U' L2 R' B' R' Fw' Uw';2023-08-18 11:19:43;6.74;17.75
11;23.54;;B2 R2 D' B2 D' R2 U R2 U' L2 R D' L' F' R B F' U L2 U Fw Uw;2023-08-18 11:20:41;13.89;9.65
12;DNF(21.47);;U D2 F' U D2 F2 L F L2 D2 R U2 L' F2 R' U2 B2 U2 L' D Rw2 Uw;2023-08-18 12:00:45;6.70;14.76
13;14.06;;D' F2 R' B2 R D2 L' B2 L2 F2 D2 L2 D2 F' L F R B' U B2 L Fw Uw;2023-08-18 12:02:00;7.28;6.77
14;13.09;;U F' R F B' R D' B2 D' B2 U2 L2 F' R2 B' U2 B' L2 U2 F U2 Fw';2023-08-18 12:02:28;5.54;7.54
15;DNF(30.57);;F2 U' L2 U' B2 R2 D2 B2 D' B2 U R2 B' D F L' R U' R' B D;2023-08-18 12:02:50;6.46;24.10
16;DNF(19.02);;D2 B2 R F2 R U2 B2 U2 B2 L' B U' L B' F' L R F' U Uw;2023-08-18 12:03:36;8.80;10.22
17;DNF(19.51);;F D U2 L2 B2 F' R2 U2 F2 D2 B' L2 U' F' D2 R' D U R' D2 Rw';2023-08-18 12:04:06;7.74;11.77
18;17.82;;R' U' B2 U2 R D2 L' F2 L' B2 L' F2 L2 F R U2 F D U' F Rw Uw2;2023-08-18 12:05:06;7.80;10.01
19;12.70;;U' D2 L' U2 D' R2 D' L' F U2 R2 F R2 D2 B2 U2 F U2 L2 B2 Rw Uw2;2023-08-18 12:06:03;5.46;7.23
20;16.04;;B2 U' R' B2 D' F2 D F2 U2 R2 D2 L2 U2 R U' B2 F' U R F' Uw;2023-08-18 12:06:26;6.81;9.23
21;14.43;;R2 L2 U' R2 F U' D' B2 L R2 U2 F' D2 F' U2 R2 D2 F2 L2 B Uw;2023-08-18 12:06:49;5.52;8.91
22;DNF(26.83);;F' D F2 D2 B' D2 B L2 F2 R2 U2 B R2 D2 R' F L2 F' D' R U Fw Uw';2023-08-18 12:07:15;7.53;19.30
23;20.42;;L2 U2 F2 D' F2 R2 D F2 D U2 R2 B2 L F L' R' D' B' R2 D2 U2 Fw Uw';2023-08-18 12:08:19;5.58;14.84
24;DNF(15.68);;R2 U B' L2 U2 R2 F L2 U2 F2 R2 U2 F' U' F' R F' R' F' R' Rw Uw';2023-08-18 12:09:27;7.14;8.54
25;DNF(16.98);;D F U2 D' R' B D B D F2 U' F2 B2 R2 F2 L2 U2 L2 F' Rw2 Uw;2023-08-18 12:09:55;7.04;9.93
26;DNF(15.85);;R D R2 B2 U2 R2 U' B2 D' R2 U L' D2 U F' R' D B U R Fw Uw';2023-08-18 12:12:12;6.29;9.55
27;20.05;;L' D F' U' D' L F R' B2 U2 F2 D' B2 U' L2 D R2 U2 F2 B2 R' Uw;2023-08-18 12:12:51;5.79;14.25
28;DNF(18.92);;D L D' R2 U2 L2 U B2 D' B2 F2 U2 B2 F' L2 D R B' U L' F' Fw';2023-08-18 12:13:23;6.60;12.31
29;20.88;;F' R' B' R' F U2 D' B U' F L2 F2 D2 B U2 F' R2 F' D2 B Rw Uw';2023-08-18 12:14:17;8.46;12.41
30;18.36;;F2 D2 L2 B L2 U2 B' F' L2 F R' D' U2 R' B2 L' U F Fw Uw2;2023-08-18 12:14:48;6.13;12.23
31;21.51;;D2 R D2 L' B2 L' U2 F2 L' F2 R2 F2 D' L U2 B2 U2 R' F U2 Fw';2023-08-18 12:15:14;9.83;11.68
32;DNF(14.63);;D2 B L2 D2 L U2 R' U2 R F2 R U2 R2 B2 U' B R' D B2 U' R Rw Uw;2023-08-18 12:15:45;5.10;9.52
33;21.70;;L B2 L2 R2 D2 U' F2 D' U2 R2 U' R2 F' L' R2 F U F D U Fw' Uw;2023-08-18 12:16:19;7.03;14.67
34;11.98;;F2 U2 R' D2 B2 F2 L D2 R2 B2 R F2 U' R' F' L2 R B' D2 L B2 Rw Uw;2023-08-18 12:16:49;5.10;6.87
35;DNF(21.77);;R2 U' B' D2 F L2 F D2 L2 F2 L2 R2 U2 L R' B' D U' B2 R' Rw2 Uw;2023-08-18 12:17:08;6.39;15.37
36;20.04;;U' L B' L2 D2 R2 U' F2 U R2 U L2 B2 R F U' B D2 F' L' Rw;2023-08-18 12:17:44;6.68;13.36
37;16.74;;D F L2 B2 F2 D L2 R2 F2 D U2 F2 R' F' L' R2 F U L R' Fw' Uw;2023-08-18 12:18:13;7.09;9.64
38;20.51;;F' U2 L D2 U2 B L2 F' R2 B2 L2 B D2 R2 D L' R2 D' F L2 B' Fw';2023-08-18 12:18:38;5.42;15.09
39;DNF(20.03);;U R2 B' D2 U2 F' D2 F2 U2 F R2 F' D R D2 B2 U' R U' F' D' Rw Uw2;2023-08-18 12:19:14;12.91;7.12
40;DNF(21.67);;U L B' U R2 B2 L2 B2 D B2 L2 D2 U R' D' B R2 U R D Fw';2023-08-18 12:20:00;7.37;14.30
41;DNF(13.59);;L2 B' U2 R' B2 L B2 U2 B2 L2 D2 L2 R' U' F' D L D' Fw' Uw';2023-08-18 12:22:37;5.33;8.25
42;16.57;;D2 R2 B D2 B' D2 L2 U2 F' R2 B R' B R U' L D' R' D2 R' D' Rw' Uw;2023-08-18 12:23:15;6.64;9.93
43;14.67;;U2 R F' U B2 L' D B' R2 L' F2 L' B2 R F2 R U2 L D2 U Fw';2023-08-18 12:23:38;6.71;7.95
44;20.14;;B' D2 R2 F D2 B' U2 L2 F L2 F U' B L' R2 F R D F2 U F2 Fw' Uw2;2023-08-18 12:24:01;8.26;11.88
45;DNF(22.74);;D2 F2 L2 F2 B' D B2 R L2 F2 D' F2 R2 F2 D2 R2 D' B2 D F2 Rw';2023-08-18 12:24:29;5.83;16.90
46;21.98;;B2 U2 L D F' R2 F' D L' F' D2 B2 U2 L2 D2 B' L2 F2 D2 F2 Rw2 Uw';2023-08-18 12:25:14;9.05;12.92
47;17.44;;R2 F' B2 L2 D2 U L2 D2 U' B2 U' R2 B R' B2 R2 D L D2 R Rw2 Uw2;2023-08-18 12:25:48;7.29;10.15
48;DNF(26.27);;D' L2 B2 U' R2 U B2 U B2 R2 U2 B2 F' R2 B' U' L B' R' D' B' Rw';2023-08-18 12:26:17;7.70;18.57
49;35.58;;F L2 U F2 R' F2 B' R' L B2 L2 F L2 D2 F' U2 R2 F B Fw';2023-08-18 12:26:54;20.09;15.48
50;15.27;;B' D' U F2 R2 D L2 U B2 L2 B2 L' B F R U' L' D2 U2 B Fw';2023-08-18 12:28:17;5.84;9.43
51;DNF(23.74);;F2 D' B' U' R L2 F2 L B' F2 R D2 L B2 D2 L2 U2 Fw';2023-08-18 12:28:39;5.80;17.93
52;DNF(19.88);;B2 U' D2 L' B2 L2 U2 D L F D2 F D2 L2 F2 R2 B' R2 F2 Fw' Uw';2023-08-18 12:29:27;7.84;12.03
53;DNF(21.87);;D R' F U' B' L2 F D L2 F2 U2 B2 D2 R' U2 R B2 L' U2 R';2023-08-18 12:30:06;6.54;15.33
54;15.75;;R' F2 L2 U' L2 B2 D2 B2 U' F2 D' B2 U' L' U' R' B' L' R2 F2 L' Rw Uw;2023-08-18 12:30:45;5.80;9.94
55;DNF(18.23);;D2 F2 R B' D' F B' R2 U B2 R2 F2 B2 R D2 F2 B2 R' D2 Rw2 Uw';2023-08-18 12:31:10;6.69;11.54
56;14.45;;F2 L B' U2 L2 D2 B' D2 B R2 F' L2 F2 D2 R' U' R' D2 B' L2 D' Rw2 Uw';2023-08-18 12:33:15;6.01;8.43
57;39.76;;L2 U D' L' D' R D R2 D' F' D2 F D2 F2 D2 F' L2 F' R2 B Rw2 Uw;2023-08-18 12:33:38;27.99;11.77
58;DNF(21.66);;L2 R2 U' L2 R2 B2 U R2 U R2 B2 L' D2 L F L B L F' R2 Rw Uw2;2023-08-18 12:34:26;6.64;15.02
59;19.45;;B' D' L B L F' R L2 F2 D F2 D' F2 B2 D2 B2 R2 D L U2 Rw Uw';2023-08-18 12:53:57;8.12;11.33
60;17.63;;R2 F U2 L D2 L' F2 D2 L D2 L U2 F2 R' F U L B' L2 B2 D' Fw' Uw';2023-08-18 12:54:25;6.66;10.97
61;15.65;;F2 L2 F' L2 D2 U2 B' L2 F U2 F2 D F' L F2 U L B U' R D Rw2 Uw;2023-08-18 12:54:51;6.10;9.54
62;19.17;;R2 U' L U2 L B' R D2 L2 F2 U R2 D L2 F2 D2 F2 D' R2 B' D Uw;2023-08-18 12:55:13;7.47;11.69
63;20.56;;R2 U' B2 U' R2 B2 F2 R2 U L2 D2 F' R2 U' R' D2 F U' B' U2 Fw Uw';2023-08-18 23:53:34;7.32;13.24
64;18.43;;B' L2 U' F2 R2 U' B2 U2 B2 R2 B' F R' D L F2 D2 R' U' Fw Uw2;2023-08-18 23:54:02;6.84;11.58
65;16.52;;F U' L2 D' L2 F' R' D R U2 F2 B2 L B2 U2 D2 R U2 L Fw Uw2;2023-08-18 23:55:35;4.96;11.55
66;23.19;;U2 F2 D2 L' F2 R F2 R' F2 R2 B D L D' L2 F2 D B2 F' Fw Uw;2023-08-18 23:56:10;9.56;13.63
67;16.32;;B' D' F' B2 D F' R' U' L' B L2 B' U2 F2 U2 L2 U2 D2 F R2;2023-08-18 23:56:52;6.72;9.60
68;DNF(23.01);;L' B' R2 D F' L D' R F2 R2 U2 R2 L' U2 R' F2 B2 L F L2 Fw Uw;2023-08-18 23:57:18;8.05;14.95
69;20.03;;F2 L2 B2 U2 B2 U2 L' B2 R' D2 L' U L R2 D2 F' L2 U2 R2 D Fw Uw';2023-08-18 23:58:02;6.24;13.79
70;18.04;;U' F' R' U2 B L2 B2 R2 B L2 R2 D' U2 L F2 U' F' D' Rw2 Uw;2023-08-18 23:58:32;6.34;11.70
71;15.46;;B R' L2 D' B2 U B' L2 B2 L2 F2 D F2 U F2 L2 D' L2 F Fw Uw';2023-08-18 23:58:58;7.01;8.44
72;DNF(18.63);;B D L' F2 L' U' B R U2 L2 U2 L F2 D2 B2 R' U2 B U Uw2;2023-08-18 23:59:21;7.39;11.24
73;25.04;;D2 U2 F' U2 B2 L2 F' R2 F L2 B2 U L2 R' B D' L U' B Rw;2023-08-19 08:50:18;6.89;18.14
74;14.22;;D2 R' F2 L' B2 L R2 F2 U2 R' D2 F2 U' F R' U2 B' D' F2 L2 R2 Rw2;2023-08-19 08:50:59;5.38;8.84
75;DNF(19.94);;R2 B L2 U2 L2 R2 B L2 B2 R2 U2 D' L B2 U' L' R B' F' D' F2 Rw2 Uw';2023-08-19 08:51:24;4.95;14.99
