No.;Time;Comment;Scramble;Date;P.1;P.2
40;DNF(14.36);;L' F' R U2 B2 D L2 B2 U2 L2 F2 U F D U' B F2 U2 B Rw;2023-08-19 12:37:22;4.88;9.48
41;21.09;;U' R B2 U2 F R2 U2 B U2 F' D2 U2 F U L2 R B2 D F' R2 D Fw' Uw';2023-08-19 12:37:52;5.90;15.19
42;DNF(15.40);;R B U' L D2 L' D F U2 D R2 F2 B2 D L2 F2 U F2 U Fw Uw;2023-08-19 12:38:20;6.35;9.04
43;14.63;;L' F' B2 R L' B' U' R' F B' U2 B2 R2 U2 F L2 B L2 B' R2 L Rw' Uw';2023-08-19 12:38:50;6.90;7.72
44;DNF(17.50);;F U2 F2 L2 R2 F' L2 D2 U2 F' D2 L2 R' U' B' R2 B' R B L' D Rw2;2023-08-19 12:39:11;7.00;10.49
45;DNF(16.31);;F2 D U2 F2 D2 R F2 R' U2 L' B2 R2 U2 D B' U B2 F D' R' Rw2 Uw;2023-08-19 12:40:03;7.08;9.23
46;13.80;;U2 L2 B2 L' U2 R' B L' F2 B2 D' F2 U F2 B2 U D2 R2 B2 Rw2;2023-08-19 12:40:46;5.93;7.86
47;12.31;;F R2 F U2 R2 B U2 R2 F R2 U2 L' D2 F2 L' D' R2 B L2 F2 Uw;2023-08-19 12:41:06;4.78;7.53
48;DNF(16.39);;F' L2 U' R2 D F2 R2 U F2 U L2 R' U L2 B F L' F R' D' Uw2;2023-08-19 12:41:27;6.84;9.54
49;14.27;;B D B L' B' L' F2 U B2 D2 L2 F' L2 F' R2 L2 B D2 R Rw2 Uw2;2023-08-19 12:42:11;6.09;8.18
50;15.51;;B2 F2 D' U2 R2 F2 D' R2 B2 D B' F' L' U F R' U2 R' F2 U2 Rw2 Uw;2023-08-19 12:42:32;5.95;9.56
51;DNF(15.55);;F R' L U' L B2 R' B U F2 L2 B2 U' B2 D R2 D' B2 D' F R2 Rw2 Uw2;2023-08-19 12:42:56;6.07;9.48
52;DNF(13.76);;R' U2 R2 F2 L' R2 U2 F2 L B2 R B' F' L' U' L2 B' L D2 F2 R' Rw2;2023-08-19 12:44:16;6.02;7.73
53;DNF(15.21);;B D2 B' R2 U2 L2 B2 R2 B' R2 F' L B' L2 B' F' D' F2 R D' F2 Fw Uw;2023-08-19 16:25:36;5.96;9.24
54;16.51;;B2 L2 U2 R B2 F2 R B2 F2 R' U2 R2 D F R' B' F' R F2 R2 D' Rw' Uw2;2023-08-19 16:26:11;5.93;10.58
55;14.45;;F2 L2 U' F2 U B2 L2 F2 D2 B2 U2 F D' L2 R D R' U2 R B2 Fw Uw2;2023-08-19 16:26:35;6.02;8.43
56;15.11;;R2 D' L2 B2 U B2 D' F2 U' R2 F' D2 R2 B D2 B2 R D B' R' Fw' Uw2;2023-08-19 16:26:59;5.75;9.36
57;DNF(15.62);;L' D2 R' B2 F2 R D2 F2 R B2 D2 R2 U' B' F' U' L B2 F' R B' Rw Uw2;2023-08-19 16:27:22;6.34;9.27
58;14.71;;F2 U L2 B2 F2 D2 F2 L2 U' F2 L2 D L' B F L B' F2 L' D' U' Uw2;2023-08-19 16:28:00;4.99;9.71
59;DNF(15.19);;B2 L D' F' R' F2 L' F2 D F2 R2 D' F2 U2 L2 B2 L2 F L U' Rw2 Uw;2023-08-19 16:28:27;5.28;9.90
60;18.03;;U2 R D L2 D' U F2 R2 U L2 R2 B R' D' B' U2 F' L Fw' Uw';2023-08-19 16:29:06;8.74;9.28
61;14.58;;D2 F' U' F2 U L2 U' B2 L2 D' R2 B2 R2 D' B D2 R' U' B R Rw2 Uw2;2023-08-19 16:29:34;6.16;8.42
62;15.27;;B' L' D2 L2 B2 U2 R2 F2 R2 D' B2 F2 L2 U2 F' U' R' F2 R' B2 L Rw2 Uw';2023-08-19 16:29:56;6.10;9.17
63;DNF(16.63);;U' L2 D2 L2 F2 L2 B2 U F2 D F2 L2 F U B' D' R' D' R' D' B' Uw';2023-08-19 16:30:19;6.86;9.77
64;15.62;;B2 F2 R U2 R B2 L' D2 U2 R' D2 L D L D' L B L2 U F Rw Uw2;2023-08-19 16:30:46;6.84;8.77
65;16.85;;R B' D' F2 D B2 U' R2 B2 L2 U F2 U' R2 B U2 B R' F L' U' Fw' Uw';2023-08-19 16:31:27;5.75;11.09
66;DNF(17.62);;L' D' R2 U' F2 L2 D2 F2 L2 D' U R' B2 F' U' L' D2 B' D' F2 Uw2;2023-08-19 16:31:59;6.85;10.76
67;DNF(22.12);;D' B2 U' F2 L2 D' L2 U' L2 B' U' L B2 U' B U L D2 Fw' Uw';2023-08-19 16:32:31;21.80;0.31
68;17.61;;L B U' F' R D2 L' D F' R L' F2 B2 D2 F2 B2 R' F2 R2 L' F2 Rw' Uw2;2023-08-19 16:33:24;7.40;10.20
69;14.00;;U2 F2 U L F B' D' R2 U2 R2 F' D2 F2 R2 F D2 F2 R' F' Rw2 Uw2;2023-08-19 16:33:48;5.28;8.72
70;23.19;;F2 D R2 D' L2 B2 R2 D2 F2 U2 R2 U' R B' U B R B2 R U' Rw Uw2;2023-08-19 16:34:09;7.89;15.30
71;DNF(13.79);;L D2 L F2 L2 B2 F2 L' B2 U2 B' U F' U L2 F' U2 R2 F2 Rw';2023-08-19 16:34:39;5.72;8.07
72;14.90;;F2 R D2 R2 U2 B2 L2 R' D2 L' F2 D R' F L2 B2 R2 U L' U Fw' Uw';2023-08-19 16:35:11;5.93;8.97
73;DNF(18.42);;F U B' L' B2 R' D2 F2 U2 F2 R' D2 U2 R' F L' D2 R' U L U Fw Uw';2023-08-19 16:35:35;8.49;9.93
74;20.38;;R2 B R2 F2 D' F2 U L2 B2 D' R2 U2 B2 D' R' B' F2 R2 B2 D L Rw2 Uw2;2023-08-19 16:36:12;10.66;9.72
75;18.99;;F' L' F2 R2 F B' L' B2 U2 D B2 R2 U' L2 U' L2 U B2 D' R' B2 Rw Uw;2023-08-19 16:36:39;6.94;12.04
76;DNF(17.41);;F R D2 L2 B' R2 B2 F R2 D2 B' F' L' B2 R F' U' B L2 D Fw;2023-08-19 16:37:05;7.02;10.39
77;14.11;;R2 D2 L' U2 L F2 U2 R2 D2 L U2 R' B' U' R2 F' L D' B2 F2 L Rw2 Uw;2023-08-19 16:39:31;4.69;9.42
78;DNF(20.82);;L' U2 L2 U' L2 F2 L2 D' L2 F2 D B2 F' U2 L' U' B' D' R F' R Rw';2023-08-19 16:39:51;7.79;13.02
79;18.88;;F D' B' L2 D F B' R' L2 B2 L2 U2 B2 U L2 F2 D' L2 D' F Fw Uw';2023-08-19 16:40:25;5.78;13.09
80;DNF(19.00);;U2 L2 B' R2 D2 R2 F2 L2 R2 D2 B R2 U F2 D2 B' R F2 D' R2 D' Rw2;2023-08-19 16:40:51;7.32;11.67
81;19.64;;D F2 U2 D' L F U' D F2 R' U2 D2 F2 R U2 R2 U2 F2 L' Rw2 Uw2;2023-08-19 16:41:25;7.99;11.64
82;DNF(33.64);;L U2 F L2 D' L' F R' B' U D' B2 R2 D2 R2 D L2 D B2 L2 Rw Uw';2023-08-19 16:41:52;7.41;26.23
83;15.21;;D' F' D L2 B2 U L2 U2 F2 U2 B2 U' F' L' B2 R U B' F2 R2 Fw Uw2;2023-08-19 16:42:46;5.42;9.78
84;23.69;;F R2 F R B L D' R U2 B2 L2 F' D2 B' R2 B U2 R2 F R2 U Fw' Uw2;2023-08-19 16:43:10;14.89;8.79
85;12.19;;B2 L2 F2 U' B2 D2 U L2 D' U L' U' F2 R U L' F R' D2 R Uw';2023-08-19 16:44:15;5.56;6.62
86;DNF(18.50);;R' U' L' B2 D' U2 L2 F2 D2 F2 U F2 L2 U' L' R2 B' D R B';2023-08-19 16:44:33;10.16;8.33
87;14.19;;D' F U2 B2 L2 U2 R' U2 R' D2 L' F2 B L F D' L' F2 R Fw Uw;2023-08-19 16:46:49;6.11;8.08
88;15.97;;B R2 B' L2 B2 L2 F' D2 L2 U2 R2 D F2 D F' L U' F2 R2 D2 Rw2 Uw';2023-08-19 16:47:11;5.32;10.65
89;DNF(16.35);;R2 D' F2 L2 U B2 U F2 U' B2 U' B2 F D' R2 D U' L D' B' U';2023-08-19 16:47:48;6.48;9.87
90;44.38;;R' F2 L' B2 D2 B2 U2 L' U2 R' B2 U' B' F U' B2 D L' D2 U2 F' Fw' Uw';2023-08-19 16:48:29;35.25;9.13
91;12.79;;L2 F L' B2 U2 B' R F2 L2 F2 D B2 D' F2 R2 U' D2 L F' Rw Uw';2023-08-19 16:49:21;4.48;8.30
