No.;Time;Comment;Scramble;Date;P.1;P.2
1;19.49;;R U' L2 F L' B U2 D L U R2 D L2 U2 B2 D L2 U R2 L2 F2 Rw Uw;2023-08-20 21:38:10;8.31;11.18
2;15.99;;U L R2 D' F2 U L2 D2 F2 L2 D L2 F' U B R D U L U2 Uw;2023-08-20 21:38:36;7.73;8.25
3;12.95;;R U B2 U2 R2 B2 F2 U F2 D F2 L2 D R' B D U F2 L' B U' Rw';2023-08-20 21:39:39;5.63;7.32
4;DNF(13.56);;F' L2 B' F' R2 U2 L2 R2 U2 F' D2 U B R' F2 R' B R2 F' L';2023-08-20 21:39:59;5.83;7.73
5;DNF(14.14);;U2 F' L U' B' D' B U F2 D R2 U F2 U' B2 L2 U' B2 R D Rw2;2023-08-20 21:40:24;5.97;8.17
6;DNF(17.33);;L2 B' R2 B' D2 R2 B2 U2 D R U L' R' B R U B Fw' Uw';2023-08-20 21:40:52;6.91;10.41
7;16.67;;R2 U2 F2 R2 B R2 D2 R2 B2 L2 F' R B2 U2 F D R2 F' L R' U' Rw Uw;2023-08-20 21:41:30;6.35;10.31
8;18.33;;L2 F2 L F2 B R D2 B' U R2 D2 L2 F D2 F2 D2 B R2 B' L2 Fw;2023-08-20 21:41:53;6.94;11.38
9;16.65;;F2 R' F L' F R2 F' R2 U R2 F2 D' R2 D2 R2 F2 U' R2 D L F' Fw' Uw;2023-08-20 21:42:20;6.30;10.35
10;DNF(12.65);;R' L2 D' B2 F2 U F2 L2 F2 D2 F2 U' F U R' F D R' D2 L2 Rw2 Uw';2023-08-20 21:42:50;5.16;7.49
11;DNF(21.83);;L F' U' R2 B' U' D' R2 B2 L2 B' U2 F2 R2 D2 B2 U2 R' Rw Uw2;2023-08-20 21:43:26;6.45;15.37
12;15.52;;U F' D L2 B2 L2 U L2 D L2 B2 D' U2 F R D2 U B U L B' Rw2 Uw2;2023-08-20 21:44:24;5.43;10.09
13;15.80;;L B2 U' F2 R2 F2 L2 U' B2 D2 U R' F2 D2 L' B' U' B' D2 F' Fw Uw2;2023-08-20 21:44:47;6.88;8.91
14;DNF(10.56);;R' D F2 D2 R2 F2 L2 B2 U' L2 U2 R2 U' R' D F' U2 B' D2 R B2 Fw Uw';2023-08-20 21:45:10;5.40;5.16
15;13.87;;L F2 R D2 L2 D2 L' D2 R F2 R2 D B' D' F' R' F2 R2 B F' Rw' Uw;2023-08-20 21:45:36;5.53;8.34
16;15.28;;D' L2 U' R2 B2 D2 L2 F2 D' F2 L' R' F' L' B' L' D L R' D2 Rw2 Uw';2023-08-20 21:45:57;6.21;9.06
17;DNF(17.66);;B2 R2 B2 R2 U2 F2 R D2 B2 R' B' R' F U' B L D' U2 F' U2 Rw Uw2;2023-08-20 21:46:20;6.17;11.49
18;16.71;;L' D2 B2 R2 D2 F' R2 F' L2 U2 R2 U' R' D L2 D F2 D B' R' Fw Uw2;2023-08-20 21:47:23;7.13;9.57
19;16.29;;D' L2 R2 D B2 U' R2 U F2 U F2 D' B U2 F L' B2 L' U R B Fw' Uw';2023-08-20 21:47:46;6.49;9.80
20;DNF(19.28);;F R' L' F2 B' D' B R2 U' B L2 F R2 U2 B' D2 R2 B L2 F Fw;2023-08-20 21:48:09;6.49;12.79
