No.;Time;Comment;Scramble;Date;P.1;P.2
21;DNF(21.73);;U B2 F2 U2 L2 U' L2 B2 D' B2 R' B L B' F' D2 L B F2 L Fw Uw';2023-08-20 21:48:39;7.37;14.35
22;15.03;;F2 D' L F' L F U L D2 L2 F U2 D2 R2 L2 B2 R2 U2 B L Fw;2023-08-20 21:49:13;5.25;9.77
23;15.41;;F2 U2 L' B' R2 L D2 B' U D' B2 D L2 B2 L2 F2 U' B2 Uw';2023-08-20 21:49:44;5.15;10.25
24;16.83;;U' R F' R2 L2 F2 L U B2 R2 B U2 F2 U2 L2 F' D2 R2 F2 U Rw2 Uw';2023-08-20 21:50:06;6.28;10.54
25;DNF(16.53);;B U' F2 D2 U' B2 U L2 F2 L2 D B L D' L2 U' F2 L B U' Fw';2023-08-20 21:50:34;6.55;9.98
26;18.23;;F' L2 U2 F' R2 D2 B2 U2 R2 U2 D B2 L' B' D' R D L2 U2 Rw' Uw2;2023-08-20 21:51:06;5.48;12.74
27;15.90;;F R D2 L' F2 L D2 F2 U2 L2 R' U2 B' R2 D U' L' U2 B' D' F Rw';2023-08-20 21:51:31;6.03;9.87
28;DNF(18.85);;B2 U R2 U' R2 D' F2 U' L2 D2 R2 F' D B D R B D2 R U Rw Uw2;2023-08-20 21:51:54;5.76;13.09
29;DNF(17.67);;R B D2 L2 B2 R2 F D2 L2 F R2 F' D2 R B2 D L' B' U2 B2 U' Fw Uw2;2023-08-20 21:52:30;6.78;10.88
30;DNF(23.45);;L2 R D2 L B2 L F2 D2 B2 L D2 R2 U R' F2 L U B' U' F' Fw' Uw';2023-08-20 21:53:05;9.45;13.99
31;15.42;;B2 L B' D B L D' F R B2 R2 U2 D' R2 F2 U B2 R2 F2 B2 Uw';2023-08-20 21:53:42;6.19;9.23
32;DNF(16.05);;R' D2 R2 D2 R2 B U2 B' L2 B2 F' U2 R B2 F' D2 U L' B2 F' D Rw2 Uw;2023-08-20 21:54:06;5.82;10.23
33;DNF(15.30);;L2 B' D2 U2 F' U2 B2 F D2 F U2 F' U L2 R' B' U' B L2 R' D2 Rw' Uw;2023-08-20 21:54:39;6.15;9.15
34;13.01;;B2 U2 D L' B' R F' D' F' R2 B' D2 F2 R2 L2 U2 B L2 D2 B' Rw' Uw2;2023-08-20 21:55:05;4.39;8.61
35;15.51;;R' L' B' R U2 F2 D F R U2 F2 D2 R' B2 L' B2 L2 D2 F2 B2 D Fw' Uw2;2023-08-20 21:55:27;6.29;9.22
36;23.84;;B' U' F2 U2 R2 D' L2 U R2 B2 D F2 D' B' D' L' U' B' U L' B' Uw';2023-08-20 21:55:50;4.77;19.06
37;DNF(15.52);;R' F2 D2 L2 B2 R2 D B2 D L2 U' B2 D' B R' U' L U' B R' Uw;2023-08-20 21:56:21;5.24;10.28
38;12.75;;R F2 L2 B R2 F L2 B R2 U2 R2 B L' F2 D U' F' R F' U2 B Fw;2023-08-20 21:56:58;4.83;7.91
39;16.41;;F' U' L2 B2 D R2 D F2 L2 F2 D' U' L' F U R' D2 L' B' D R2 Fw Uw;2023-08-20 21:57:21;7.21;9.20
40;16.59;;U' R2 D2 F2 L2 B2 U' L2 U B2 L' D2 B L2 D F R' F2 D2 R2 Rw2 Uw';2023-08-20 21:57:47;8.74;7.85
41;17.86;;B U2 R2 B2 L2 B2 U2 F L2 R2 D' R U' R2 U' F' R' U2 B' F' Uw';2023-08-20 21:58:12;9.66;8.19
42;13.90;;B2 L' F' U2 F D2 R2 U2 L2 F L2 F' U R B F2 U' L B' Rw2;2023-08-20 21:58:35;5.47;8.43
43;23.41;;B' U B2 F2 U' F2 U F2 L2 D' F2 R2 D2 F' D' R F' U' B' R' F2 Fw;2023-08-20 21:58:56;8.46;14.94
44;DNF(17.49);;F R2 D2 B L2 F2 U2 F' L2 F' R2 U F L' R U' B2 L R2 U' F Rw';2023-08-20 22:00:25;5.19;12.29
45;DNF(15.51);;B2 L2 F2 R2 U2 F U2 R2 U2 B2 L2 F2 L B' R2 B2 U L R' B' U' Uw';2023-08-20 22:01:02;5.55;9.95
46;DNF(21.64);;U2 F' L2 B2 R2 D2 B2 F2 U L2 F2 U L' D' B R2 F' L B' R Rw2 Uw;2023-08-20 22:02:06;6.06;15.57
47;DNF(17.51);;B' L2 B U2 B D2 F2 L2 D2 L2 D U F R D' R' U B2 R U Uw;2023-08-20 22:02:47;6.52;10.98
48;22.14;;F2 R2 F' U2 F' D2 B2 D2 F' L2 B R' D' U2 L R D L' D R Rw;2023-08-20 22:03:44;9.41;12.73
49;14.29;;U' F' D F2 R2 U L2 R2 U2 L2 U2 F2 U' B' R' F' U2 L2 D B U Fw Uw;2023-08-20 22:04:15;5.35;8.94
50;18.75;;U L2 D2 R2 U L2 U B2 D R2 F2 U2 R' D2 L' F' R B F2 R' U' Rw' Uw';2023-08-20 22:04:36;7.44;11.31
51;17.02;;L2 U2 B2 L2 B2 U2 R2 D B2 F2 D2 R U2 F' R2 D2 B2 D2 L' B2 Uw';2023-08-20 22:05:02;5.98;11.04
52;13.14;;U' D F L F B D L' U F2 B2 U' L2 F2 D2 F2 U D F Uw2;2023-08-20 22:05:26;4.46;8.68
53;15.41;;D U2 R D2 R' U2 L' F2 R2 D2 F2 R2 D' B' U L B F' U' R2 Fw' Uw';2023-08-20 22:05:47;6.62;8.78
54;17.70;;L2 B2 F2 D' B2 D' U2 L2 U' F D' B R D U2 B' R' D' U2 Fw Uw';2023-08-20 22:06:11;6.99;10.71
55;19.54;;D' F R2 U L2 U2 F2 D' R2 F2 D' B U B2 U' L' R' D U' Rw2 Uw';2023-08-20 22:06:35;9.41;10.13
56;12.90;;U2 R D2 U F2 U' L2 F2 R2 B2 F2 D F2 U' L B' D U' F2 R' B Fw' Uw';2023-08-20 22:07:03;4.75;8.15
57;13.22;;R' U R2 U B2 U R2 B2 D2 B2 U' L2 B L2 F D' L2 D' L' F L Rw' Uw2;2023-08-20 22:07:33;4.80;8.41
58;15.50;;D' B2 F2 D L2 D' F2 R2 D L2 D2 F' L D2 F' R' F U L2 U' B' Fw';2023-08-20 22:07:53;5.02;10.47
59;21.41;;L2 U' D2 L F2 L2 D2 F2 L' D2 F2 L U' F' R' U F' D2 B R Rw2 Uw2;2023-08-20 22:08:16;6.02;15.39
60;DNF(18.60);;U' L' D B R' F R2 L2 U' D2 F2 D2 F2 L' F2 U2 R2 L F2 U2 R2 Fw' Uw;2023-08-20 22:08:46;9.52;9.08
61;12.86;;F2 D2 U2 B' R2 B' F2 R2 U2 R2 U2 R' D F' L2 F R2 B' D L' Fw' Uw;2023-08-20 22:09:39;5.28;7.57
62;DNF(20.16);;R2 U' R D B2 D' B2 F2 D R2 D R2 B2 D B' D2 R2 D U2 B' R' Rw2;2023-08-20 22:09:59;7.83;12.32
63;11.57;;R2 B2 R2 B2 F2 D2 B2 U' R2 U' F2 R' U' F D B' U F' U R Fw' Uw';2023-08-20 22:10:49;5.21;6.35
64;15.12;;F' L F2 L' B2 R B2 F2 R' F2 R2 F2 D F D2 U2 R' D' U' B' U2 Rw' Uw;2023-08-20 22:11:08;5.81;9.30
65;14.20;;F' D2 B L2 F' U2 D' L' U' L2 F D2 R2 B L2 F B' R2 L2 F' Rw' Uw;2023-08-20 22:11:30;5.28;8.92
66;17.11;;R F L2 D' L2 B2 U B2 D U2 F2 D L2 U R' D U2 B' U R D' Fw Uw';2023-08-20 22:11:52;6.44;10.67
67;DNF(12.70);;R2 F2 D2 F2 L' U2 F2 L2 F2 L' F2 R2 B' F2 L U' B F' D' B R' Rw2 Uw;2023-08-20 22:45:27;5.02;7.67
68;DNF(15.73);;R F U L2 D' F U R D B' R2 D2 R2 B R2 L2 F2 D2 R2 B';2023-08-20 22:45:53;5.68;10.05
69;11.47;;F2 L' D F R D' L R2 U2 F' L2 F2 U2 R2 L2 F R2 B L B2 Fw;2023-08-20 22:47:06;4.68;6.78
70;DNF(17.48);;R D2 F2 U F2 U2 L2 B2 F2 D' R2 U F D' R U B F' R' B' Uw;2023-08-20 22:47:36;5.49;11.98
71;15.42;;U2 L2 F2 D' U2 L2 U2 L2 F2 R2 U B' U' F' D2 R B U F' D2 R' Rw' Uw2;2023-08-20 22:48:14;5.52;9.90
72;14.98;;D' B' D2 L2 U2 R' F2 L' U2 L' D2 U2 L F2 B' L2 U' B R' U F Fw;2023-08-20 22:48:37;4.93;10.04
73;14.11;;B U' F R' F2 D' L B' U R' D' B2 U2 B2 R2 D L2 U' L2 D F2 Rw2 Uw2;2023-08-20 22:49:01;5.93;8.17
74;DNF(19.59);;B' R' B2 D' L D2 R2 U F' D2 L2 F2 R2 B' R2 F D2 B' L2 F2 D Rw2 Uw';2023-08-20 22:49:22;8.28;11.31
75;DNF(19.11);;R2 D' L2 U B2 U2 F2 R2 U L2 F L2 U' B' D' U2 L' D2 L2 D' Rw' Uw';2023-08-20 22:50:02;7.59;11.52
76;13.30;;F2 L' F2 L' F2 U F' R2 F2 D2 R2 F2 U' F2 D2 L2 D' L2 D R F2 Rw2 Uw';2023-08-20 22:50:32;5.65;7.65
77;16.99;;F2 D2 U2 L' D2 B2 R D2 B2 L2 R' B2 F' U B2 L' D' F' R2 B' R Fw' Uw2;2023-08-20 22:50:54;6.33;10.65
78;DNF(20.07);;B2 R' U2 L2 R2 B D2 F2 U2 B U2 D L R' U B' D' F Rw';2023-08-20 22:51:18;7.09;12.98
79;17.89;;U2 R2 U L U2 D' R D U2 F R2 F2 U2 D2 B U2 F' U2 L2 D2 Uw;2023-08-20 22:51:55;7.89;10.00
80;DNF(25.55);;D2 B' D2 F' L2 D2 F2 D2 B L2 F' L B2 L U R2 B2 U2 L' U Rw2;2023-08-20 22:52:20;5.37;20.18
81;18.20;;R2 B2 D B2 U B2 U' R2 B2 D2 R2 F' U R B F' U L' D L' U Rw Uw';2023-08-20 22:53:02;5.35;12.85
82;18.53;;D R' U2 L2 U2 F2 L' F2 U2 R B2 D' B' R' D' R' D R F2 Rw2;2023-08-20 22:53:25;7.49;11.04
83;13.50;;L D' L' B L2 D2 R' L F' U F2 L2 U' L2 U B2 D R2 B2 Fw' Uw;2023-08-20 22:53:51;5.66;7.84
84;29.32;;L2 B2 U2 L2 B2 D B2 R2 F2 U' L2 B' D2 R D2 U2 B F2 D L' Rw Uw;2023-08-20 22:54:14;17.33;11.99
85;13.52;;B D2 F2 L2 D2 L B2 L2 R' D2 L' F2 R' B' R F D' F' L U R;2023-08-20 22:54:52;4.94;8.57
86;20.64;;L' U' B2 R2 B2 F2 R U2 L' D2 R U2 D F' D' U L B' D Fw Uw2;2023-08-20 22:55:14;6.09;14.55
87;13.32;;L B2 R2 D2 R U2 L' F2 L' D2 U' B F L B2 U2 R2 U R' Rw;2023-08-20 22:55:41;5.73;7.59
88;17.67;;B2 F2 L2 B2 R2 U' B2 U2 R2 U' F2 B U F U R' D2 U R B Rw Uw2;2023-08-20 22:56:01;4.82;12.85
89;DNF(15.06);;U' B' L B2 U L' U2 F2 R D2 F L2 F2 R2 U2 F L2 F U2 Fw' Uw';2023-08-20 22:56:25;7.20;7.85
90;19.51;;D R2 U2 B2 R2 U L2 R2 B2 R2 U F2 R' F2 U' F R2 B' L B' U' Fw Uw2;2023-08-20 22:56:58;9.48;10.02
91;DNF(39.40);;R2 F D' L2 D L2 U B2 D' L2 U R2 U L2 F' D' U R D L2 U Fw' Uw;2023-08-20 22:57:25;6.91;32.49
92;DNF(16.10);;B R' D B2 F2 L2 D' L2 U2 L2 B2 R2 U2 F' U' L' F' D L2 R Fw Uw2;2023-08-20 22:58:44;6.61;9.49
93;18.97;;L' D' L B2 L' D2 F2 R' U2 B2 L D2 R' B D2 U2 B' U' B F2 Rw Uw';2023-08-20 22:59:21;8.34;10.63
94;19.29;;R U D2 F R2 D' F D L2 U F2 B2 D2 L2 B2 R2 U' F2 R' D Rw';2023-08-20 22:59:47;8.93;10.35
95;14.01;;U L2 R2 U2 B2 D F2 U2 R2 U' F L B2 F' U2 B' L' D2 L2 Fw';2023-08-20 23:00:12;5.61;8.40
96;15.74;;F' D2 F' L2 U2 L2 B U2 R2 F2 R2 F2 R D2 F2 U' F D L F D Rw Uw2;2023-08-20 23:00:34;7.09;8.65
97;DNF(15.38);;F2 U' R2 D2 B2 L2 R2 U R2 F2 U' R2 F R2 B2 R' D2 F' L F D' Rw Uw;2023-08-20 23:00:58;6.07;9.30
98;DNF(11.84);;B2 U' R2 B2 F2 R' U2 F2 R' B2 D2 U2 R D B' U' L2 D' L U' Uw';2023-08-20 23:01:43;5.26;6.58
99;12.13;;U F B' D' F2 D L F2 B R2 U2 R2 F U2 R2 B D2 L2 B U' F' Fw Uw2;2023-08-20 23:02:26;5.11;7.01
100;DNF(18.05);;R D2 U2 F2 R F2 L B2 L2 U2 F' D' F2 U F' L B2 F2 D2 Rw' Uw2;2023-08-20 23:02:47;6.03;12.01
