No.;Time;Comment;Scramble;Date;P.1
1;25.64;;U2 L D F U D L2 D' R' U R2 U R2 D B2 U2 D' B2 Fw' Uw';2023-06-30 13:30:05;25.64
2;43.29;;U F2 R2 U B2 L2 R2 U' L2 B2 U' F' D' B2 U' R' D2 U B R' F Fw Uw;2023-06-30 13:31:00;43.29
3;DNF(40.08);;B' U' B2 F2 U2 B2 R2 D' R2 U' B2 L2 R' F U2 L D' R U B F2 Fw' Uw';2023-06-30 13:31:58;40.08
4;DNF(56.08);;D' B2 L2 U R2 U2 F2 D R2 U L D2 U' R B' U2 B' R F' Rw Uw2;2023-06-30 13:34:19;56.08
5;DNF(32.66);;R D' R2 D2 R2 D' B2 F2 U2 L' B U' R' F2 D L U' Uw;2023-06-30 13:35:54;32.66
6;DNF(39.42);;R2 F' L2 B' D2 B R2 B L2 F D2 L2 R' B L2 B' U B' D F' U2 Fw' Uw';2023-06-30 13:36:55;39.42
7;40.85;;R' B2 R U F2 R2 D' F2 D2 B2 F2 U' L2 B' F2 L B2 U2 R2 F Uw;2023-06-30 13:37:48;40.85
8;27.65;;R U D' R2 L2 F' U2 F2 R D L2 U R2 L2 B2 L2 D R2 B2 D' L2 Fw' Uw';2023-06-30 13:38:36;27.65
9;DNF(24.68);;B D2 F D2 U2 F' U2 B D2 F D2 F' D L' F L' F R U R2 Uw';2023-06-30 13:39:32;24.68
10;30.56;;L U' F U2 D2 B2 L' U' D2 L2 U2 B' D2 L2 F2 R2 F D2 B2 R2 Fw Uw;2023-06-30 13:41:03;30.56
11;DNF(34.44);;U' R B2 U' R2 D' F2 U R2 D R2 D2 R B D2 F' U L' D F Rw' Uw2;2023-06-30 13:42:11;34.44
12;DNF(43.82);;D2 F R2 B2 D2 L2 D2 U2 F L2 U2 F2 D' F2 U L U L2 F R F2 Fw' Uw;2023-06-30 13:43:39;43.82
13;DNF(36.19);;R B2 R2 F' D2 U2 F' R2 B D2 B' L2 D R B2 F' L U' L2 B' R2 Rw' Uw';2023-06-30 13:44:51;36.19
