No.;Time;Comment;Scramble;Date;P.1
14;DNF(42.57);;F' D' R2 D' B2 D2 R2 U B2 D B2 F2 R2 L D B' F' D' B' R' Rw2 Uw';2023-06-30 13:50:06;42.57
15;DNF(54.89);;U' F' D B' D R' D' U2 F' R2 F' R2 L2 U2 F2 U2 B' U2 B D F2 Rw2 Uw';2023-06-30 13:53:45;54.89
16;48.13;;U2 B' D2 F L2 F2 L2 U2 B' R2 F L2 D' R2 F' D L' F' L' B F Fw';2023-06-30 13:55:24;48.13
17;DNF(1:07.18);;D2 B L2 F R2 F' L2 U2 F' L2 R U F D' B' U2 L' F2 D U' Rw2 Uw';2023-06-30 13:57:35;1:07.18
18;45.02;;F' R2 F2 D' U2 R2 D B2 D2 U2 L2 B' R' D L' F2 R' B U Rw' Uw;2023-06-30 13:59:15;45.02
19;31.22;;L R2 U F2 D U2 L2 U' L2 R2 B2 R2 B U2 L' B2 L B2 U' R2 Fw Uw;2023-06-30 14:00:38;31.22
20;DNF(41.72);;R2 B' U2 F2 R F' U B D' L B2 D2 B2 L D2 R2 U2 B2 U2 R' Rw Uw;2023-06-30 14:05:56;41.72
21;DNF(37.01);;L U2 B2 L2 U2 R F2 L' R2 B2 R B' U F U' L2 F' L U R' Rw2;2023-06-30 14:16:48;37.01
22;DNF(31.25);;F B' L2 F B U L2 B' L' F2 L' U2 R' F2 L B2 L B2 L2 D2 Uw';2023-06-30 14:17:49;31.25
23;DNF(37.92);;U L R2 B D2 R2 F L2 R2 F U2 B D2 R' U F' D' L' B' F2 Fw Uw;2023-06-30 14:18:41;37.92
24;DNF(36.52);;D2 L2 F2 D2 F2 R' D2 R F2 R U' R' B F U2 F' U B F Fw Uw;2023-06-30 14:19:32;36.52
25;DNF(46.39);;B2 R2 D' L2 U2 B2 L2 R2 U R2 U2 L' U' L D2 B2 R2 B R' Uw2;2023-06-30 14:20:39;46.39
26;39.77;;B' R2 B L2 U2 L2 D2 B U2 F' R2 D' L2 R2 U' B2 L' R' B Uw';2023-06-30 14:22:03;39.77
27;DNF(29.53);;D2 R B2 L' F2 U2 R B2 F2 L2 R' F R2 B R B F2 D' L R;2023-06-30 14:22:52;29.53
28;DNF(48.22);;R' F' D' R' D2 B L' B' R2 U2 F' B2 R2 B' R2 U2 R2 D R' Rw2 Uw';2023-06-30 14:23:51;48.22
29;DNF(38.47);;U2 R F2 R' D2 R' B2 D2 U2 L U2 F' L' U' R F U2 F U' B' L' Fw' Uw';2023-06-30 14:32:45;38.47
30;DNF(58.66);;D' R2 B2 D' F2 D B2 U' B2 R2 U R D L2 B' D' U B R' F Uw;2023-06-30 14:34:15;58.66
31;DNF(26.28);;L2 F2 D2 F2 U' R2 F2 U L2 D2 R2 B D' L U2 B' U F L F2 U' Rw Uw';2023-06-30 14:35:48;26.28
32;37.90;;D' F2 U F' B L' F B2 D2 B2 D R2 D' R2 U' B2 R2 U L2 F' U Fw' Uw2;2023-06-30 14:36:31;37.90
33;DNF(31.14);;B2 R2 F R2 D L' F2 U' B' L' D2 B2 R B2 L F2 R F2 R' Uw;2023-06-30 14:37:19;31.14
34;31.75;;F' L' U2 F' D' R2 D R2 B' U2 D2 B2 D2 F U2 L2 D2 F2 U' R' Fw Uw';2023-06-30 14:38:07;31.75
35;35.31;;L B' U2 L2 B2 R U2 L2 D2 R F2 D2 F R F L2 D' L2 R2;2023-06-30 14:39:07;35.31
36;35.27;;F' U2 F2 U2 F' D2 B' L2 B U2 L F' D U' B2 R2 B2 F R' Rw2 Uw2;2023-06-30 14:40:29;35.27
37;30.13;;L' F2 D2 B2 F' D2 R2 B' L2 F2 U L2 F D R2 D L B2 Rw Uw';2023-06-30 14:41:23;30.13
38;DNF(32.83);;F2 L2 D2 F R2 D2 L2 R2 B L2 B2 L U B2 U L' B2 U2 R B2 Rw;2023-06-30 14:42:13;32.83
39;35.05;;F D' B2 L2 B L2 D R U R2 D2 R2 L2 U' L2 U2 F2 D' R2 U R' Fw' Uw;2023-06-30 14:43:16;35.05
40;DNF(43.22);;U2 F' D2 B' L2 D2 B R2 D2 B F R' F2 D B U' B' L B2 R Uw;2023-06-30 14:44:42;43.22
41;DNF(42.83);;R2 U2 F2 L2 D2 L D2 F2 L D2 B' R2 U F D F2 R B2 D Fw';2023-06-30 14:47:13;42.83
42;DNF(34.98);;F R2 D F2 R2 B2 R2 U2 R2 D L D' B D2 F R' U2 L' Rw2 Uw';2023-06-30 14:49:50;34.98
43;DNF(36.02);;R2 F' L2 B L2 R2 B' U2 L2 R2 B' D' L U L D B' F D' U2 Rw' Uw;2023-06-30 14:50:51;36.02
44;32.04;;U R' F U' R2 F R2 D L' F2 R2 F U2 F2 U2 R2 B' R2 D2 B';2023-06-30 14:51:41;32.04
45;30.84;;F' B2 L2 U' B2 R2 U2 F2 L2 U B2 U2 F L2 U R' D2 F' D' B' Rw Uw2;2023-06-30 14:52:32;30.84
46;DNF(48.54);;D B' U2 L2 D2 F2 U2 F' D2 U2 F' L' D B' D' U F2 U2 R' D Uw';2023-06-30 14:53:11;48.54
47;28.44;;L2 B F L2 F' U2 F U2 L2 D2 B' L' F2 U' L2 R B R D Rw' Uw2;2023-06-30 14:54:28;28.44
48;31.93;;L2 D B' D2 F' D L D2 F2 R2 L2 D L2 B2 U F2 R2 F2 R' U Uw2;2023-06-30 14:55:11;31.93
49;41.21;;D2 R2 D2 B2 R2 F2 R' U2 F2 R2 F2 B L B' R' D F2 R2 B' Rw2 Uw2;2023-06-30 14:56:07;41.21
50;30.87;;B L2 D2 L2 R2 F2 D' B2 F2 L2 D' L2 U' R' U' B' F U B D' U2 Uw';2023-06-30 14:57:04;30.87
51;DNF(32.53);;L2 U' B D2 F R2 B' U2 F2 R2 U2 F' L2 D2 R' F2 D' B D2 L' D Rw Uw';2023-06-30 14:57:53;32.53
52;DNF(33.69);;B L2 F2 L2 D2 L2 R2 F' L2 U2 D' R D R2 U' L2 F2 L' B' D' Rw';2023-06-30 14:59:08;33.69
53;28.79;;U' D2 R2 B2 L D2 L D2 F2 L B2 R' U2 D' B D L F R D L' Rw Uw2;2023-06-30 15:00:21;28.79
54;DNF(43.05);;B2 R2 D2 F2 D B2 R2 D B2 D' R B2 F R2 U B2 R B2 F2 Fw Uw';2023-06-30 15:01:09;43.05
55;DNF(1:39.07);;R2 D2 B2 U F2 U F2 U2 L2 D2 L' U B2 U' F L' B D' B L' Fw;2023-06-30 15:02:41;1:39.07
56;DNF(29.17);;F' R' L' B L2 F' L2 U' F L' F2 R2 D2 R' B2 D2 F2 R' B2 L2 Rw' Uw;2023-06-30 15:05:30;29.17
57;DNF(34.19);;U R2 D' B2 L2 B2 F2 U B2 U' R' B L F' D F D2 R U2 B' Uw;2023-06-30 15:06:31;34.19
58;36.71;;L' D B2 D L2 U L2 F2 U' L2 D' R2 L' D L' F' U2 L' D2 R' Fw' Uw';2023-06-30 15:07:35;36.71
59;DNF(31.25);;D2 R2 U2 F2 U L2 U F2 U' R2 F2 B L B2 R B2 R' B' Rw' Uw;2023-06-30 15:08:29;31.25
60;DNF(30.88);;D' B' D2 R' L' B R2 L B F2 L2 B2 D R2 L2 U R2 U B2 D R2 Rw Uw;2023-06-30 15:09:12;30.88
61;35.83;;D2 R' D2 L B2 R' D2 L2 B' F U R' D2 R F2 U' R' Fw Uw2;2023-06-30 15:09:59;35.83
62;31.50;;B2 R' D' F' L B2 R' U2 B U L2 U2 F2 B2 L2 B2 U R2 F2 D2 Rw' Uw;2023-06-30 15:10:47;31.50
63;33.31;;U' F R U R2 F' R' B' L' R2 B L2 F' D2 B U2 B2 U2 F' U2 Rw2;2023-06-30 21:21:45;33.31
64;33.10;;R' F2 D2 F2 L B2 D2 L' B2 R D2 L2 B R2 U' F L' D F L2 Rw2 Uw';2023-06-30 21:22:28;33.10
65;DNF(39.05);;F2 D2 L2 D2 U B2 L2 R2 U' R2 F2 R' D2 F' D' L R2 F' L' B' U2 Uw;2023-06-30 21:23:13;39.05
66;DNF(39.11);;D' L2 U' B2 R B' U' D R D2 F' R2 F2 L2 D2 F' B2 L2 D2 L2 Fw' Uw;2023-06-30 21:24:24;39.11
67;DNF(39.40);;R D R2 F B2 L D F2 R F2 L F2 U2 B2 U2 R' L2 B2 L2 U' Rw' Uw';2023-06-30 21:25:21;39.40
68;DNF(49.88);;U' B2 R2 D2 B2 R2 D F2 L2 D' B2 U L' U B' D U F U' B' U' Rw2;2023-06-30 21:26:17;49.88
69;DNF(55.50);;F2 R' L2 F2 D L B R F2 R F2 L2 D2 B2 U2 B2 L U2 B2 F' Fw Uw2;2023-06-30 21:27:21;55.50
70;DNF(50.72);;F L2 U2 B2 U F2 R2 D' L2 R2 D R' B2 D R D2 F D' B2 L2 Rw Uw';2023-06-30 21:29:16;50.72
71;37.12;;U' F D2 F' L2 D2 B2 L2 U2 B' R2 D2 F L B2 D' F' L' B2 U2 L2 Rw2;2023-06-30 21:30:33;37.12
72;DNF(42.38);;D2 U2 R2 D2 U2 B L2 B' F' U2 B' R D U B F' L' B D' Fw' Uw2;2023-06-30 21:31:23;42.38
73;46.04;;R B' D2 U2 L' U2 L F2 U2 R2 B2 D2 L' R2 F' D2 L F' D R2 D Uw;2023-06-30 21:32:19;46.04
74;35.25;;R2 B U F2 D2 F2 R2 U L2 R2 F2 R2 B U L' F' D' B2 F2 U' Rw2 Uw;2023-06-30 21:33:14;35.25
75;DNF(36.38);;D R2 U B' D2 B2 U D2 R' F2 B2 U2 D' F2 D2 R2 F2 D' B2 U2 Uw';2023-06-30 21:34:56;36.38
76;DNF(1:03.20);;B2 R L2 B' L U2 F' D2 F2 D2 R' B2 R2 D2 L U2 R D2 U L' Rw;2023-06-30 21:35:56;1:03.20
77;DNF(30.96);;B2 R2 B' U2 L' U' F L R2 D2 B' U2 B R2 D2 R2 F2 D2 R2 B2 Rw Uw';2023-06-30 21:41:05;30.96
78;34.11;;L B2 D U R2 D F2 U' B2 L2 R D' B' L B R2 U' L Fw' Uw2;2023-06-30 21:42:01;34.11
79;DNF(33.91);;B R L' D2 F' D2 R' D' F2 U2 B2 R2 F2 B2 U L2 U2 B2 L2 F L2 Uw2;2023-06-30 21:42:45;33.91
80;DNF(37.98);;D' F' L2 R2 F2 D' B2 F2 U R2 D R2 U' R' U' B' F R D' B Rw' Uw';2023-06-30 21:43:31;37.98
81;DNF(59.34);;F R' F D R U' D2 F R' B D2 L2 B2 D2 B U2 B L2 B U2 F2 Rw Uw;2023-06-30 21:44:27;59.34
82;DNF(33.89);;L2 F D2 B2 L2 U2 R2 U2 F' R2 F U B L' D' U' L2 B L' R Rw' Uw;2023-06-30 21:47:55;33.89
83;40.67;;U R2 U2 R U' R' F' L' R2 U2 F' R2 D2 B' R2 U2 B2 Rw Uw2;2023-06-30 21:49:30;40.67
84;DNF(36.92);;D B2 L2 R2 D L2 D L2 U2 R2 D' L' U2 B R2 D2 R' F' D U R2;2023-06-30 21:50:18;36.92
85;37.55;;L' U L' B' U F2 R F U B2 D2 R' F2 L2 F2 D2 B2 L U2 F2 U2 Rw Uw2;2023-06-30 21:51:32;37.55
86;DNF(26.85);;D' B2 F2 D L2 D' R2 U' L2 F' U R2 B' F' D B' R B Rw2;2023-06-30 21:52:18;26.85
87;DNF(35.36);;B' D2 F2 R2 D2 F2 L' F2 R' F2 L2 U2 R D U' F' R2 D L2 F Fw;2023-06-30 21:53:11;35.36
88;DNF(38.14);;B' U' L' D' L2 U R2 U2 R2 F2 L2 D F2 U R F2 U F U' B R2 Uw;2023-06-30 21:54:41;38.14
89;35.90+;;F' D' B2 F2 D' L2 F2 D B2 F2 L B2 D2 B' U2 L' D B2 D Fw;2023-06-30 21:55:42;33.90
90;32.43;;U L U2 R' F' D2 B' D R' U B2 U' R2 U B2 D' R2 U' B2 R2;2023-06-30 21:56:33;32.43
91;DNF(35.15);;F' U R2 D U B2 R2 U B2 R2 F2 R2 L' F L' R D' F D U' Fw;2023-06-30 21:57:18;35.15
92;DNF(32.32);;D F2 R2 D' R2 U2 F2 L2 D' B2 U2 L D' B D2 U2 B2 F' L D2 R' Fw' Uw';2023-06-30 21:58:28;32.32
93;33.17;;F' R2 D' L2 F2 D R2 D' L2 D2 F2 D R2 B' L R F' U L B R2 Fw Uw;2023-06-30 21:59:30;33.17
94;DNF(33.11);;U' F2 D F2 U2 B2 U' F2 R2 D' B2 F2 R B D B' U2 B2 L' F' D2 Rw' Uw';2023-06-30 22:00:16;33.11
95;DNF(40.17);;B' L' F D' U R2 D F2 R2 U' R2 F' D U2 L' R2 D U Rw Uw2;2023-06-30 22:01:33;40.17
96;DNF(30.12);;U B U D' B D2 L D R' U2 R' U2 D2 R' B2 R F2 D2 B2 R' Fw' Uw';2023-06-30 22:03:02;30.12
97;34.89;;F' R D2 R F L U' R U F U' R2 U' R2 F2 L2 U R2 D2 B2 U Uw;2023-06-30 22:04:00;34.89
98;DNF(31.70);;F' R L' F2 U' R2 U' B' L' F' L2 U2 D2 B' U2 L2 F B L2 U2 R2 Rw2 Uw';2023-06-30 22:04:43;31.70
99;43.97;;D2 B2 R' D F2 B U' R' D2 F L2 U2 F2 U2 D2 L2 F L2 B U2 L Rw2 Uw';2023-06-30 22:06:05;43.97
100;DNF(36.89);;D' B L2 B U2 B2 D2 B L2 F U2 F2 R' B2 F R' U' F D' B2 Fw Uw2;2023-06-30 22:06:58;36.89
