No.;Time;Comment;Scramble;Date;P.1;P.2
1;DNF(19.45);;R2 D F U R F' R' B L D2 R' F2 B2 R U2 L D2 R B' Rw2 Uw2;2023-08-10 15:10:15;6.72;12.73
2;DNF(16.63);;D B2 F2 L' U2 L B2 R' D2 U2 R' D2 R F D F D U2 B2 F' Fw Uw;2023-08-10 15:11:12;9.48;7.15
3;20.05;;F2 D2 B2 R F2 R2 U2 L' D2 R D2 U2 B' U R2 F' L' R B2 U2 B Fw' Uw;2023-08-10 15:11:57;8.65;11.40
4;14.45;;F2 L U F' L' B2 R2 D' F' R2 U2 R2 F D2 R2 L2 F' B2 L2 R Rw' Uw';2023-08-10 15:12:28;8.05;6.40
5;DNF(19.33);;F' D' U' R2 D L2 U' F2 L2 D L2 U L B F' L' R2 D' B2 F Fw' Uw;2023-08-10 15:12:52;8.48;10.85
6;23.54;;F B2 R' L2 F' R2 D' F B2 U2 D2 R2 D B2 R2 F2 D2 L Uw2;2023-08-10 15:13:27;5.85;17.69
7;17.37;;F U B' U F' R' B' L U F' L2 F2 D2 B' D2 F U2 D2 F R2 U2 Rw' Uw';2023-08-10 15:14:05;6.22;11.15
8;15.33;;R' F D2 R U' R' B L F' U2 R2 D2 B2 D2 R B2 L D2 R2 L' Uw2;2023-08-10 15:14:34;5.85;9.48
9;12.14;;F2 D B D B2 D L2 R2 D F2 L2 U R2 D R F2 L' B F2 D U2 Fw Uw;2023-08-10 15:16:24;5.08;7.06
10;DNF(18.15);;D2 L' B2 U R2 U2 R2 B2 D' U F2 U' L2 R U2 B D2 R2 F2 L Fw';2023-08-10 15:16:44;6.72;11.43
11;14.75;;U2 R2 F L2 F R2 B2 F' U2 L' B2 F2 D' F L R F2 L;2023-08-10 15:17:23;6.32;8.43
12;13.90;;F2 R' F U B D R D' L2 D' L2 F2 U2 R2 B2 U R2 U2 B R' Fw' Uw';2023-08-10 15:17:47;5.85;8.05
13;12.68;;U2 R' F2 L2 F D L' F U B2 D' B2 R2 U2 D B2 R2 D2 L2 B' Fw Uw;2023-08-10 15:18:12;6.22;6.46
14;15.58;;F2 U2 R U' R F D F R F2 R F2 U2 B2 D2 R B2 R' F2 R2 B' Rw' Uw';2023-08-10 15:18:39;6.25;9.33
15;17.66;;U R U' F2 L' U' B L' F2 R' L2 U2 D2 B2 L U2 L2 F2 B2 D Fw' Uw2;2023-08-10 15:19:27;11.65;6.01
16;12.70;;F' U F B U' R' L2 F D' L2 U R2 D R2 B2 R2 B2 D' B2 D' B Uw2;2023-08-10 15:19:54;5.05;7.65
17;15.48;;F L2 B U2 F' L2 B' D2 R2 U2 F D2 U' L' U R B' D R B2 F Rw' Uw;2023-08-10 15:20:18;6.98;8.50
18;14.89;;D' F B2 L F2 L U2 F D' L2 D L2 F2 L2 U F2 D' B Fw' Uw2;2023-08-10 15:21:32;5.48;9.41
19;22.53;;F2 U R2 D' B2 U2 L2 F2 U2 L' B2 F' L2 R U' B' L2 R2 Fw Uw';2023-08-10 15:21:57;6.08;16.45
20;13.51;;D' L2 U' B2 L2 D2 B2 L2 D B2 F2 L B' F' D L F2 L' F2 D2;2023-08-10 15:22:29;5.25;8.26
21;13.17;;U2 F D2 L2 U2 B2 R2 F D2 B' U2 R' U F2 D B' R B2 L2 D2 R2 Rw Uw2;2023-08-10 15:22:57;5.51;7.66
22;12.28;;L' F' U' L B' R2 D' R D R2 D2 B' D2 R2 B L2 D2 F D2 R2 Rw' Uw';2023-08-10 15:23:29;5.65;6.63
23;39.95;;B2 R2 U2 R2 D2 B2 D' B2 U B2 F2 L D F' D R2 B' D' B2 L2 Fw;2023-08-10 15:23:53;31.85;8.10
24;DNF(14.69);;F2 D' B D2 F2 L F2 U' R' D2 B' R2 B' R2 D2 R2 D2 B R2 F D' Rw';2023-08-10 15:24:42;5.98;8.71
25;13.91;;L B' U' R2 F2 R2 U2 B' D' R B2 D2 B2 L' U2 R' U2 F2 L' F2 Rw Uw;2023-08-10 15:25:19;6.18;7.73
26;14.76;;R2 B2 U2 F2 U2 L D2 U2 R F' L2 D' B F' L' F R' D' Rw';2023-08-10 15:25:43;5.55;9.21
27;16.70;;F' L B2 U' L2 D' R2 F2 D' L2 B2 U' L2 U L' D' R2 B L R2 D2 Uw2;2023-08-10 15:26:21;6.02;10.68
28;DNF(12.71);;D' F R2 B' U2 F U2 R2 F2 L2 F2 U F' D' U2 R F2 L' B' U Uw2;2023-08-10 15:26:48;7.18;5.53
29;20.06;;U2 B R' D' R F' R2 D' R' B2 L B2 U2 D2 R' B2 L2 D2 B' Rw';2023-08-10 15:29:26;7.55;12.51
30;DNF(19.89);;R2 U2 B U B' D' F' D' U2 F2 D2 F2 L F2 R' U2 D2 R L Fw Uw2;2023-08-10 15:29:56;5.99;13.90
31;DNF(24.66);;L' F' B' D R' L' U R F R' D2 F2 L' U2 B2 U2 R2 B2 L2 F2 Uw2;2023-08-10 15:31:15;13.92;10.74
32;22.36;;R2 U2 R' B2 R2 F2 D2 B2 L U2 L2 R' D' B F' U' B' L B' R F Fw Uw2;2023-08-10 15:32:01;7.88;14.48
33;15.19;;R' F B D2 F' B U L F2 L2 U2 B' L2 U2 B U2 F B L2 D2;2023-08-10 15:32:31;5.38;9.81
