No.;Time;Comment;Scramble;Date;P.1
41;DNF(1:00.49);;R' B' D2 R2 B2 F2 D2 L F2 D2 R' U2 F2 R' D B L' D F U R2 Fw' Uw;2023-06-29 23:18:44;1:00.49
42;48.80;;R B' U2 R' B2 R U2 R F2 D2 R F U' F2 L B' U2 R Rw' Uw';2023-06-29 23:20:04;48.80
43;DNF(34.80);;U R U' F2 D L2 D' U' R2 F2 R2 D L R F' U B2 R B' D' Fw' Uw';2023-06-29 23:21:03;34.80
44;34.09;;F2 U' L2 R2 D U2 L2 U2 R2 F2 R2 F' D R U' L' D' U' B' L2 D' Uw';2023-06-29 23:21:58;34.09
45;50.31;;F' U2 B L2 R2 B2 U2 F U2 B' U B' D L D2 B2 D' F R' B2 Rw;2023-06-29 23:22:41;50.31
46;DNF(28.16);;R2 F' L2 B D2 B' U2 F' U2 B2 L2 U2 R D B2 L R2 B' U B2 F' Rw2 Uw2;2023-06-29 23:23:41;28.16
47;DNF(38.18);;B2 R' U2 L' B2 U2 L' B2 U2 F2 U2 D F2 R2 F U' R' U' L' D F' Fw;2023-06-29 23:24:21;38.18
48;28.44;;B L2 D' B2 R2 F2 U2 R2 D2 R2 F' D2 R2 F' R' U F2 L' B F R' Rw2 Uw;2023-06-29 23:25:16;28.44
49;DNF(46.19);;D2 F' R2 B2 L2 F U2 B L2 B R' D R U' F U2 L2 R B L' Fw;2023-06-29 23:26:03;46.19
50;43.46;;L2 F' U' L' R2 U2 L2 B2 R' D2 U2 B2 R' F R' U' L' D B L Uw2;2023-06-29 23:27:07;43.46
